         180244 function calls in 0.242 seconds

   Ordered by: internal time
   List reduced from 30 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.171    0.057    0.220    0.073 C:\Codex\2026-09-11\1-github-x5939-2-psp-2\outputs\student-id\similarity.py:40(lcs_length)
        3    0.034    0.011    0.042    0.014 C:\Codex\2026-09-11\1-github-x5939-2-psp-2\outputs\student-id\similarity.py:32(_build_masks)
        9    0.018    0.002    0.018    0.002 {built-in method _io.open}
   180087    0.016    0.000    0.016    0.000 {method 'get' of 'dict' objects}
        6    0.001    0.000    0.001    0.000 {built-in method nt._path_exists}
        6    0.001    0.000    0.001    0.000 {built-in method nt._path_isfile}
        6    0.000    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        9    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        6    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.bin}
        3    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        6    0.000    0.000    0.020    0.003 C:\Codex\2026-09-11\1-github-x5939-2-psp-2\outputs\student-id\textio.py:12(read_text)
        3    0.000    0.000    0.242    0.081 C:\Codex\2026-09-11\1-github-x5939-2-psp-2\outputs\student-id\main.py:26(main)
        3    0.000    0.000    0.221    0.074 C:\Codex\2026-09-11\1-github-x5939-2-psp-2\outputs\student-id\similarity.py:64(duplication_rate)
        6    0.000    0.000    0.000    0.000 C:\Users\Sirue'tto\AppData\Local\Programs\Python\Python313\Lib\encodings\utf_8_sig.py:50(__init__)
        3    0.000    0.000    0.240    0.080 C:\Codex\2026-09-11\1-github-x5939-2-psp-2\outputs\student-id\main.py:19(compute_rate)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.001    0.000 C:\Codex\2026-09-11\1-github-x5939-2-psp-2\outputs\student-id\textio.py:35(write_rate)
        6    0.000    0.000    0.000    0.000 C:\Users\Sirue'tto\AppData\Local\Programs\Python\Python313\Lib\encodings\utf_8_sig.py:54(_buffer_decode)


